id;Vencimento;DataDocumento;NumeroDocumento;ValorDocumento;IDFornecedor;ValorAbatimento;DataAbatimento;Status
64;24/02/2021;24/02/2021;0;3,66;267581;3,66;24/02/2021;PAID
65;25/03/2021;24/02/2021;7;687,3;267582;687,3;25/03/2021;PAID
66;24/04/2021;24/02/2021;8;608,85;267582;608,85;24/04/2021;PAID
67;24/05/2021;24/02/2021;9;608,85;267582;608,85;24/05/2021;PAID
68;24/02/2021;24/02/2021;22073;370;267574;370;24/02/2021;PAID
69;24/02/2021;24/02/2021;22067;145;267574;145;24/02/2021;PAID
70;26/03/2021;25/02/2021;1364;477,55;267582;477,55;26/03/2021;PAID
71;26/04/2021;25/02/2021;1364;362,92;267582;362,92;26/04/2021;PAID
72;24/02/2021;24/02/2021;22044;75;267574;75;24/02/2021;PAID
73;20/02/2021;20/02/2021;8729;186;267595;186;20/02/2021;PAID
74;20/02/2021;20/02/2021;21976;200;267574;200;20/02/2021;PAID
75;18/02/2021;18/02/2021;21940;30;267574;30;18/02/2021;PAID
76;18/02/2021;18/02/2021;21918;98;267574;98;18/02/2021;PAID
77;22/02/2021;22/02/2021;111;128;267592;128;22/02/2021;PAID
78;22/02/2021;22/02/2021;22005;6,5;267574;6,5;22/02/2021;PAID
79;12/02/2021;12/02/2021;21833;42;267574;42;12/02/2021;PAID
80;05/02/2021;05/02/2021;307066;1901,6;267575;1901,6;05/02/2021;PAID
81;01/02/2021;01/02/2021;305081;583;267575;583;01/02/2021;PAID
82;26/02/2021;26/02/2021;0;8;267580;8;26/02/2021;PAID
83;01/02/2021;01/02/2021;21551;80;267574;80;01/02/2021;PAID
84;02/02/2021;02/02/2021;21577;110;267574;110;02/02/2021;PAID
85;03/02/2021;03/02/2021;21596;44,75;267574;44,75;03/02/2021;PAID
86;15/03/2021;12/02/2021;6816;791;267675;791;15/03/2021;PAID
87;17/02/2021;17/02/2021;333240;33;267675;33;17/02/2021;PAID
88;05/02/2021;05/02/2021;331995;150;267675;150;05/02/2021;PAID
89;05/02/2021;05/02/2021;332099;9;267675;9;05/02/2021;PAID
90;03/02/2021;03/02/2021;331777;68;267675;68;03/02/2021;PAID
91;02/02/2021;02/02/2021;143868;18;267572;18;02/02/2021;PAID
92;22/02/2021;22/02/2021;20107;395;267567;395;22/02/2021;PAID
93;08/02/2021;08/02/2021;416022;35;267596;35;08/02/2021;PAID
94;02/02/2021;02/02/2021;83074;36;267590;36;02/02/2021;PAID
95;02/02/2021;02/02/2021;6555;190;267675;190;02/02/2021;PAID
96;01/02/2021;01/02/2021;6553;350;267675;350;01/02/2021;PAID
97;02/02/2021;02/02/2021;544;165;267592;165;02/02/2021;PAID
98;15/03/2021;15/02/2021;175711;575;267594;575;15/03/2021;PAID
99;23/02/2021;23/02/2021;1;42,75;267598;42,75;23/02/2021;PAID
100;26/02/2021;26/02/2021;22117;800;267574;800;26/02/2021;PAID
101;27/02/2021;27/02/2021;281256;35,1;267589;35,1;27/02/2021;PAID
102;27/02/2021;27/02/2021;4606;641,67;267576;641,67;01/03/2021;PAID
103;27/02/2021;27/01/2021;FEVEREIRO;60,88;267600;60,88;01/03/2021;PAID
104;27/02/2021;27/01/2021;4606;641,67;267576;641,67;01/03/2021;PAID
106;15/03/2021;01/03/2021;3;2200;267602;2200;15/03/2021;PAID
107;15/03/2021;01/03/2021;169157;50;267603;50;15/03/2021;PAID
108;15/03/2021;03/02/2021;127623;770,17;267604;770,17;15/03/2021;PAID
109;15/03/2021;01/02/2021;2;798,66;267604;798,66;15/03/2021;PAID
110;15/03/2021;01/01/2021;3;253,67;267605;253,67;15/03/2021;PAID
111;08/03/2021;08/02/2021;1;577,5;267606;577,5;10/03/2021;PAID
112;01/03/2021;01/03/2021;22173;35;267574;35;01/03/2021;PAID
113;01/03/2021;01/03/2021;314263;550,01;267575;550,01;01/03/2021;PAID
114;01/03/2021;01/03/2021;175655;54;267583;54;01/03/2021;PAID
115;02/03/2021;02/03/2021;314700;290;268009;290;02/03/2021;PAID
116;01/04/2021;02/03/2021;1414;860,19;267582;860,19;01/04/2021;PAID
117;01/05/2021;02/03/2021;1414;681,66;267582;681,66;01/05/2021;PAID
118;02/04/2021;02/03/2021;387;640;267576;640;02/04/2021;PAID
119;03/03/2021;03/03/2021;196022;60;267584;60;03/03/2021;PAID
120;03/03/2021;03/03/2021;20155;140;267567;140;03/03/2021;PAID
121;03/03/2021;03/03/2021;22217;1240;267574;1240;03/03/2021;PAID
122;01/04/2021;01/03/2021;334470;210;267675;210;01/04/2021;PAID
123;28/03/2021;26/02/2021;1386;589,82;267582;589,82;28/03/2021;PAID
124;27/04/2021;26/02/2021;1386;422,5;267582;422,5;27/04/2021;PAID
125;24/02/2021;24/02/2021;144599;45,8;267572;45,8;24/02/2021;PAID
126;25/02/2021;25/02/2021;20142;80;267567;80;25/02/2021;PAID
127;25/02/2021;25/02/2021;32974;72;267607;72;25/02/2021;PAID
128;25/02/2021;25/02/2021;128618;11;267608;11;25/02/2021;PAID
129;26/02/2021;26/02/2021;418579;31,8;267596;31,8;26/02/2021;PAID
130;23/02/2021;23/02/2021;1;1050;267609;1050;23/02/2021;PAID
131;22/02/2021;22/02/2021;1;480;267610;480;22/02/2021;PAID
132;12/03/2021;12/02/2021;4894;184,8;267611;184,8;12/03/2021;PAID
133;18/02/2021;18/02/2021;4134;95;267580;95;18/02/2021;PAID
134;18/02/2021;18/02/2021;144759;52;267612;52;18/02/2021;PAID
135;17/02/2021;17/02/2021;144372;45;267572;45;17/02/2021;PAID
136;18/02/2021;18/02/2021;2534;150;267613;150;18/02/2021;PAID
137;09/02/2021;09/02/2021;1;160;267614;160;09/02/2021;PAID
138;19/02/2021;19/02/2021;279196;93,67;267589;93,67;19/02/2021;PAID
139;09/03/2021;03/03/2021;3;43,06;267615;44,06;08/03/2021;PAID
140;26/03/2021;26/02/2021;22146;1000;267574;1000;26/02/2021;PAID
141;31/03/2021;26/02/2021;22146;980;267574;980;31/03/2021;PAID
142;30/04/2021;26/02/2021;22146;980;267574;980;30/04/2021;PAID
143;30/05/2021;26/02/2021;22146;980;267574;980;30/05/2021;PAID
144;19/03/2021;03/03/2021;3;242;267616;242;19/03/2021;PAID
145;10/03/2021;03/03/2021;363;305,38;267617;305,38;10/03/2021;PAID
146;04/03/2021;04/03/2021;22254;35;267574;35;04/03/2021;PAID
147;04/03/2021;05/03/2021;22242;100;267574;100;04/03/2021;PAID
148;04/03/2021;05/03/2021;22262;90;267574;90;04/03/2021;PAID
149;04/03/2021;05/03/2021;22270;540;267574;540;04/03/2021;PAID
150;05/03/2021;05/03/2021;4752;485;267576;485;05/03/2021;PAID
151;04/03/2021;04/03/2021;20181;60;267567;60;04/03/2021;PAID
152;04/03/2021;04/03/2021;1;180;267613;180;04/03/2021;PAID
153;05/03/2021;06/03/2021;316036;794,45;267575;794,45;05/03/2021;PAID
154;02/03/2021;06/03/2021;61753;204,5;253238;204,5;02/03/2021;PAID
155;08/03/2021;07/02/2021;145253;40;267611;41;08/03/2021;PAID
156;10/03/2021;27/01/2021;29573;205,5;253238;205,5;10/03/2021;PAID
157;11/03/2021;11/02/2021;176612;324;253238;324;11/03/2021;PAID
158;11/03/2021;14/01/2021;1060;367,29;267582;367,29;11/03/2021;PAID
159;04/04/2021;08/03/2021;22286;730;267574;730;04/04/2021;PAID
160;04/05/2021;08/03/2021;22286;730;267574;730;04/05/2021;PAID
161;05/04/2021;08/03/2021;22300;680,5;267574;680,5;05/04/2021;PAID
162;05/03/2021;08/03/2021;7369;188;267619;188;05/03/2021;PAID
163;08/03/2021;09/03/2021;119024;654,04;267575;654,04;08/03/2021;PAID
164;05/04/2021;09/03/2021;65633;244,13;253238;244,13;05/04/2021;PAID
165;19/04/2021;09/03/2021;65633;214,13;253238;214,13;19/04/2021;PAID
166;08/03/2021;09/03/2021;7379;58;267619;58;08/03/2021;PAID
167;23/03/2021;09/03/2021;3;143,75;267621;143,75;23/03/2021;PAID
168;09/03/2021;10/03/2021;22338;10;267574;10;09/03/2021;PAID
169;09/03/2021;10/03/2021;22333;200;267574;200;09/03/2021;PAID
170;10/04/2021;11/03/2021;7414;264;267619;264;10/04/2021;PAID
171;11/03/2021;11/03/2021;22276;227;267574;227;11/03/2021;PAID
172;10/04/2021;12/03/2021;8399;500;267622;500;10/04/2021;PAID
173;11/03/2021;12/03/2021;317827;1199;267575;1199;11/03/2021;PAID
174;10/03/2021;12/03/2021;317439;1024,69;267575;1024,69;10/03/2021;PAID
175;09/03/2021;12/03/2021;317030;1181,83;267575;1181,83;09/03/2021;PAID
176;15/04/2021;12/03/2021;7454;118;267589;118;15/04/2021;PAID
177;13/03/2021;13/03/2021;1;70;267592;70;13/03/2021;PAID
178;13/03/2021;13/03/2021;1;18;267592;18;13/03/2021;PAID
179;13/03/2021;13/03/2021;284315;35;267589;35;13/03/2021;PAID
180;15/03/2021;15/03/2021;32124058;145;267623;145;15/03/2021;PAID
181;15/03/2021;27/01/2021;46062;641,67;267576;641,67;15/03/2021;PAID
182;22/03/2021;18/03/2021;1663917;30,58;267624;30,58;18/03/2021;PAID
183;22/03/2021;19/03/2021;FEVEEIRO;5497,64;267626;5497,64;22/03/2021;PAID
184;19/03/2021;19/03/2021;7540;126,7;267619;126,7;19/03/2021;PAID
185;18/03/2021;19/03/2021;71316;22;253256;22;18/03/2021;PAID
186;18/03/2021;19/03/2021;1100;510;267627;510;18/03/2021;PAID
187;19/03/2021;19/03/2021;18043305;35;267580;35;19/03/2021;PAID
188;19/03/2021;19/03/2021;495469;40;267584;40;19/03/2021;PAID
189;20/03/2021;20/03/2021;22592;315;267574;315;20/03/2021;PAID
190;20/03/2021;20/03/2021;22608;115;267574;115;20/03/2021;PAID
191;20/03/2021;20/03/2021;3;1430;267628;1430;20/03/2021;PAID
193;22/03/2021;22/03/2021;22628;426,5;267574;426,5;22/03/2021;PAID
194;15/03/2021;22/03/2021;22477;110;267574;110;15/03/2021;PAID
195;22/03/2021;22/03/2021;1;94,8;267592;94,8;22/03/2021;PAID
196;22/03/2021;23/03/2021;22641;32,8;267574;32,8;22/03/2021;PAID
197;23/03/2021;23/03/2021;3163;750;267609;750;23/03/2021;PAID
198;22/04/2021;23/03/2021;22669;57;267574;57;22/04/2021;PAID
199;23/03/2021;24/03/2021;321149;420;267575;420;23/03/2021;PAID
200;19/03/2021;19/03/2021;117654;1545,08;253256;1545,08;19/03/2021;PAID
201;25/03/2021;26/03/2021;321846;633,07;267575;633,07;25/03/2021;PAID
202;25/03/2021;26/03/2021;22719;110;267574;110;25/03/2021;PAID
203;25/03/2021;25/03/2021;1;190;267592;190;25/03/2021;PAID
204;26/03/2021;26/03/2021;1;12;267592;12;26/03/2021;PAID
205;18/03/2021;26/03/2021;22558;112,3;267574;112,3;18/03/2021;PAID
206;17/03/2021;17/03/2021;1;70;267592;70;17/03/2021;PAID
207;12/03/2021;12/03/2021;116896;333;253256;333;12/03/2021;PAID
208;23/03/2021;26/03/2021;22669;57;267574;57;23/03/2021;PAID
209;24/03/2021;26/03/2021;22689;35,5;267574;35,5;24/03/2021;PAID
210;13/03/2021;13/03/2021;176275;39,5;267583;39,5;13/03/2021;PAID
211;10/03/2021;26/03/2021;711;353,4;267630;353,4;10/03/2021;PAID
212;26/03/2021;27/03/2021;322134;548,81;267575;548,81;26/03/2021;PAID
213;29/03/2021;26/03/2021;1100337261;95;267619;95;29/03/2021;PAID
214;26/03/2021;29/03/2021;7746;20;267619;20;26/03/2021;PAID
215;26/03/2021;29/03/2021;7747;40;267619;40;26/03/2021;PAID
216;15/03/2021;15/03/2021;1100335981;200;267619;200;15/03/2021;PAID
217;18/03/2021;18/03/2021;1100336376;260;267619;260;18/03/2021;PAID
218;18/03/2021;18/03/2021;1100336384;17;267619;17;18/03/2021;PAID
219;15/03/2021;15/03/2021;1100335948;275;267619;275;15/03/2021;PAID
220;28/04/2021;30/03/2021;22803;450;267574;450;28/04/2021;PAID
221;29/03/2021;30/03/2021;322575;887,81;267575;887,81;29/03/2021;PAID
222;29/04/2021;30/03/2021;22820;522;267574;522;29/04/2021;PAID
223;06/04/2021;30/03/2021;22824;90;267574;90;06/03/2021;PAID
224;30/03/2021;30/03/2021;1100337553;110;267619;110;30/03/2021;PAID
225;20/04/2021;30/03/2021;5021;252;267611;252;20/04/2021;PAID
226;09/04/2021;30/03/2021;4;43,06;267615;43,06;09/04/2021;PAID
227;05/04/2021;30/03/2021;146056;40;267611;40;05/04/2021;PAID
229;17/05/2021;30/03/2021;52124058;145;267623;145;17/05/2021;PAID
230;15/06/2021;30/03/2021;62124058;145;267623;145;16/06/2021;PAID
231;15/03/2021;15/03/2021;197918;76,5;267584;76,5;15/03/2021;PAID
232;04/03/2021;04/03/2021;1100334850;42;267619;42;04/03/2021;PAID
233;30/03/2021;31/03/2021;322943;1120,6;267575;1120,6;30/03/2021;PAID
234;31/03/2021;31/03/2021;177024;24,3;267583;24,3;31/03/2021;PAID
235;30/04/2021;31/03/2021;22837;300;267574;300;30/04/2021;PAID
236;30/04/2021;01/04/2021;22854;170;267574;170;30/04/2021;PAID
237;05/04/2021;29/03/2021;22787;90;267574;90;05/04/2021;PAID
238;05/04/2021;01/04/2021;22785;140;267574;140;05/04/2021;PAID
239;30/03/2021;30/03/2021;1100337525;174;267619;174;30/03/2021;PAID
240;27/03/2021;27/03/2021;13970;100;267580;100;27/03/2021;PAID
241;16/03/2021;16/03/2021;2386;15;267597;15;16/03/2021;PAID
242;31/03/2021;31/03/2021;1;360;267610;360;31/03/2021;PAID
243;06/04/2021;06/04/2021;1;6;267631;6;06/04/2021;PAID
244;06/04/2021;06/04/2021;22934;205;267574;205;06/04/2021;PAID
245;05/05/2021;06/04/2021;157957;350;267632;350;05/05/2021;PAID
246;05/04/2021;06/04/2021;68466;1387,68;253238;1387,68;05/04/2021;PAID
247;06/04/2021;07/04/2021;22962;1624,9;267574;1624,9;06/04/2021;PAID
248;07/04/2021;07/04/2021;34417;72,9;267589;72,9;07/04/2021;PAID
249;07/04/2021;07/04/2021;200780;77;267584;77;07/04/2021;PAID
250;01/04/2021;07/04/2021;34370;410;267589;410;01/04/2021;PAID
251;05/04/2021;07/04/2021;22895;180;267574;180;05/04/2021;PAID
252;07/04/2021;07/04/2021;48183;123;253245;123;07/04/2021;PAID
253;07/04/2021;07/04/2021;177273;36;267583;36;07/04/2021;PAID
254;07/04/2021;07/04/2021;22980;445;267574;445;07/04/2021;PAID
255;07/04/2021;07/04/2021;1100338256;38,7;267619;38,7;07/04/2021;PAID
256;01/04/2021;07/04/2021;22871;111,75;267574;111,75;01/04/2021;PAID
257;01/04/2021;01/04/2021;22888;240;267574;240;01/04/2021;PAID
258;01/04/2021;01/04/2021;1100337815;15;267619;15;01/04/2021;PAID
259;06/04/2021;06/04/2021;1100338049;126,7;267619;126,7;06/04/2021;PAID
260;06/04/2021;07/04/2021;324563;1115;267575;1115;06/04/2021;PAID
261;08/04/2021;08/04/2021;23012;115;267574;115;08/04/2021;PAID
262;06/05/2021;09/04/2021;238682;230,12;253277;230,12;06/05/2021;PAID
263;08/04/2021;09/04/2021;325325;253,25;267575;253,25;08/04/2021;PAID
264;09/04/2021;10/04/2021;325773;1772,5;267575;1772,5;09/04/2021;PAID
265;10/04/2021;10/04/2021;1100338612;31;267619;31;10/04/2021;PAID
266;10/04/2021;10/04/2021;201447;30;267584;30;10/04/2021;PAID
267;10/04/2021;05/04/2021;4;7091;267634;7091;10/04/2021;PAID
269;12/04/2021;12/04/2021;1100338713;50;267619;50;12/04/2021;PAID
270;13/04/2021;13/04/2021;23105;120;267574;120;13/04/2021;PAID
271;10/04/2021;13/04/2021;23043;90;267574;90;10/04/2021;PAID
272;14/04/2021;14/04/2021;23134;25;267574;25;14/04/2021;PAID
273;14/04/2021;14/04/2021;23125;130;267574;130;14/04/2021;PAID
274;14/04/2021;14/04/2021;1100339053;292,25;267619;292,25;14/04/2021;PAID
275;15/04/2021;15/04/2021;83341;88;253263;88;15/04/2021;PAID
276;14/05/2021;15/04/2021;69541;2457,39;253238;2457,39;14/05/2021;PAID
277;15/04/2021;15/04/2021;23158;230;267574;230;15/04/2021;PAID
278;15/04/2021;15/04/2021;1100339181;200;267619;200;15/04/2021;PAID
279;15/04/2021;16/04/2021;327413;208,67;267575;208,67;15/04/2021;PAID
280;19/04/2021;19/04/2021;1100339549;1310;267619;1310;19/04/2021;PAID
281;23/04/2021;20/04/2021;4;147,36;267621;147,36;20/04/2021;PAID
282;19/05/2021;20/04/2021;1882;1015,81;267582;1015,81;19/05/2021;PAID
283;18/06/2021;20/04/2021;1882;650,29;267582;650,29;18/06/2021;PAID
284;18/07/2021;20/04/2021;1882;650,29;267582;650,29;18/07/2021;PAID
285;19/05/2021;20/04/2021;158784;325,95;267632;325,95;20/05/2021;PAID
286;18/06/2021;20/04/2021;158784;325,95;267632;325,95;18/06/2021;PAID
287;19/04/2021;20/04/2021;328301;743,67;267575;743,67;19/04/2021;PAID
288;19/05/2021;20/04/2021;432;2300;267576;2300;19/05/2021;PAID
289;04/05/2021;20/04/2021;53206;350;267618;350;04/05/2021;PAID
290;15/05/2021;20/04/2021;53413;300;267618;300;17/05/2021;PAID
291;30/05/2021;20/04/2021;53413;300;267618;300;20/04/2021;PAID
292;20/04/2021;20/04/2021;292116;12;267589;12;20/04/2021;PAID
293;22/04/2021;22/04/2021;1100339758;187;267619;187;22/04/2021;PAID
294;22/04/2021;22/04/2021;1100339758;117;267619;117;22/04/2021;PAID
295;22/05/2021;20/04/2021;23244;373,34;267574;373,34;24/05/2021;PAID
297;21/07/2021;20/04/2021;23244;373,33;267574;373,33;21/07/2021;PAID
298;01/05/2021;01/04/2021;22785/1-3;587,34;267574;587,34;03/05/2021;PAID
299;01/06/2021;01/04/2021;22785/2-3;587,33;267574;587,33;01/06/2021;PAID
301;01/05/2021;22/04/2021;4;4107,91;267626;4107,91;03/05/2021;PAID
302;22/04/2021;22/04/2021;1100339857;48,5;267619;48,5;22/04/2021;PAID
303;22/04/2021;22/04/2021;27535;227;267636;227;22/04/2021;PAID
304;23/04/2021;23/04/2021;23288;275;267574;275;23/04/2021;PAID
305;23/04/2021;23/04/2021;17666;2160;267637;2160;23/04/2021;PAID
306;20/05/2021;23/04/2021;239941;1242;253277;1242;23/04/2021;PAID
307;23/04/2021;24/04/2021;329494;1710,01;267575;1710,01;23/04/2021;PAID
308;26/04/2021;26/04/2021;1100340173;154;267619;154;26/04/2021;PAID
309;26/04/2021;26/04/2021;1100340194;23,75;267619;23,75;26/04/2021;PAID
310;20/04/2021;20/04/2021;1100339623;396;267619;396;20/04/2021;PAID
311;26/04/2021;27/04/2021;23331;490;267574;490;26/04/2021;PAID
312;26/04/2021;27/04/2021;23325;205;267574;205;26/04/2021;PAID
313;27/04/2021;27/04/2021;23341;178,5;267574;178,5;27/04/2021;PAID
314;23/04/2021;27/04/2021;23304;25;267574;25;23/04/2021;PAID
315;27/04/2021;27/04/2021;3480;510;267609;510;27/04/2021;PAID
316;27/04/2021;27/04/2021;872;1000;267638;1000;27/04/2021;PAID
317;26/04/2021;27/04/2021;1100340193;150;267619;150;26/04/2021;PAID
318;26/05/2021;28/04/2021;4955;754;267576;754;26/05/2021;PAID
319;27/04/2021;28/04/2021;330459;658,64;267575;658,64;27/04/2021;PAID
320;09/04/2021;09/04/2021;4898;860;267576;860;09/04/2021;PAID
321;28/04/2021;28/04/2021;23367;450;267574;450;28/04/2021;PAID
322;28/04/2021;28/04/2021;23369;229,8;267574;229,8;28/04/2021;PAID
323;22/04/2021;22/04/2021;120747;2146,04;253256;2146,04;22/04/2021;PAID
324;29/04/2021;29/04/2021;293605;25;267589;25;29/04/2021;PAID
325;28/04/2021;28/04/2021;1100340355;110;267619;110;28/04/2021;PAID
326;28/04/2021;28/04/2021;1100340450;106;267619;106;28/04/2021;PAID
327;28/04/2021;28/04/2021;86588;185;267590;185;28/04/2021;PAID
328;29/04/2021;29/04/2021;1100340560;468;267619;468;29/04/2021;PAID
329;28/04/2021;28/04/2021;1100340385;235;267675;235;28/04/2021;PAID
330;29/04/2021;29/04/2021;62741;80;267580;80;29/04/2021;PAID
331;08/04/2021;30/04/2021;22996;369,2;267574;369,2;08/04/2021;PAID
332;12/04/2021;12/04/2021;1100338767;1371,36;267619;1371,36;12/04/2021;PAID
333;08/04/2021;08/04/2021;12628;2880;267639;2880;08/04/2021;PAID
334;12/02/2021;12/02/2021;20211314;192;267597;192;12/02/2021;PAID
335;29/04/2021;30/04/2021;8735;1440;267640;1440;29/04/2021;PAID
336;28/04/2021;03/05/2021;20686;1150;267641;1150;28/04/2021;PAID
337;30/04/2021;30/04/2021;1100340650;88;267619;88;30/04/2021;PAID
338;30/04/2021;30/04/2021;23427;60;267574;60;30/04/2021;PAID
339;04/05/2021;05/05/2021;23456;8;267574;8;04/05/2021;PAID
340;03/05/2021;03/05/2021;294590;22,5;267589;22,5;03/05/2021;PAID
341;03/05/2021;03/05/2021;62842;112;267580;112;03/05/2021;PAID
342;03/05/2021;03/05/2021;23166;65,92;267642;65,92;03/05/2021;PAID
344;29/06/2021;05/05/2021;159307;225;267632;225;29/06/2021;PAID
345;04/05/2021;04/05/2021;1234;264;267592;264;04/05/2021;PAID
346;03/05/2021;03/05/2021;1100340828;234;267619;234;03/05/2021;PAID
347;03/05/2021;05/05/2021;83564;60;253263;60;03/05/2021;PAID
348;05/05/2021;05/05/2021;1100341127;352;267619;352;05/05/2021;PAID
349;04/05/2021;05/05/2021;3370;120;267610;120;04/05/2021;PAID
350;03/06/2021;05/05/2021;23443;392,5;267574;392,5;03/06/2021;PAID
351;03/07/2021;05/05/2021;23443;392,5;267574;392,5;05/07/2021;PAID
352;03/06/2021;27/04/2021;23357;91,5;267574;91,5;03/06/2021;PAID
353;03/07/2021;27/04/2021;23357;91,5;267574;91,5;05/07/2021;PAID
354;05/05/2021;06/05/2021;39254;1605;253270;1605;05/05/2021;PAID
355;05/05/2021;06/05/2021;8772;750;267640;750;05/05/2021;PAID
356;05/05/2021;05/05/2021;178353;86,4;267583;86,4;05/05/2021;PAID
357;05/05/2021;06/05/2021;333015;832,83;267575;832,83;05/05/2021;PAID
358;05/05/2021;06/05/2021;126459;613,22;267575;613,22;05/05/2021;PAID
359;06/05/2021;06/05/2021;23277;250;267642;250;06/05/2021;PAID
360;06/05/2021;07/05/2021;333400;826,11;267575;826,11;06/05/2021;PAID
361;04/05/2021;04/05/2021;122143;2196,02;253256;2196,02;04/05/2021;PAID
362;28/05/2021;08/05/2021;35372;322,57;267644;322,57;28/05/2021;PAID
363;09/05/2021;03/05/2021;5;37,53;267615;37,53;09/05/2021;PAID
364;10/05/2021;03/05/2021;5;405,38;267617;405,38;10/05/2021;PAID
365;10/05/2021;03/05/2021;5;40;267611;40;10/05/2021;PAID
366;06/05/2021;10/05/2021;49076;475;267645;475;11/05/2021;PAID
367;06/05/2021;06/05/2021;49076;475;267645;475;06/05/2021;PAID
368;07/05/2021;10/05/2021;333874;267,13;267575;267,13;07/05/2021;PAID
369;10/05/2021;10/05/2021;23562;32;267574;32;10/05/2021;PAID
370;11/05/2021;11/05/2021;296670;50;267589;50;11/05/2021;PAID
371;11/06/2021;11/05/2021;5010;2500;267576;2500;11/05/2021;PAID
372;24/05/2021;11/05/2021;5;126,29;267621;126,29;24/05/2021;PAID
373;12/05/2021;11/05/2021;23587;1493,6;267574;1493,6;12/05/2021;PAID
